이벤트 스토리 1,등장 인물,대사
1,무지개 슬라임,"""똑똑…저기, 아직 안에 계시나요..?"""
1,주인공,"""무지개 슬라임 손님? 이 밤중에 무슨 일이신가요?"""
1,무지개 슬라임,"""이상하게 들릴지 모르겠지만 가끔은 제가 어떤 슬라임인지 잘 모르겠어요…"""
1,주인공,"""…무슨 말씀이시죠?"""
2,무지개 슬라임,"""(무지개 슬라임이 회색빛으로 변함) 사실 전 늘 색이 바뀌어요. 기분, 상황에 따라서… """
2,무지개 슬라임,"그런데 언제부터인가 제 감정에 솔직하지 못하고 늘 색이 섞이게 되었어요."""
2,무지개 슬라임,"""남들이 보기에는 화려하고 예쁠지라도 그게 진정한 저인지 혼란스러워요…"""
2,주인공,"""당신은 당신이에요. 그 변화하는 색도, 불안한 마음도 다 당신의 일부잖아요."""
2,주인공,"""이렇게 용기내서 말해줘서 고마워요. 어떤 모습이든 괜찮으니 자신에게 솔직해봐요. 오늘처럼…"""
3,무지개 슬라임,"""감사합니다. 제 얘기를 들어주어서… 이 가게의 타르트를 먹을 때만큼은 저의 무지개가 진심임을 느꼈어요."""
3,무지개 슬라임,"""감사하다는 의미로 드릴게요. 이건 제가 제일 혼란스러웠던 밤에 만든 조명이에요. """
3,무지개 슬라임,"""빛이 일정하지 않지만 이상하게 따뜻해요. 그럼 안녕히 계세요."""
4,,"""[무지개 조각 유리 램프]를 얻었습니다! 내일부터 가게 안에 설치됩니다."""
