id,name,type,species,인사,주문,선호하는 타르트,만족,불만족
2011001,식물슬라임,General,슬라임," ""햇살 좋은 날에는 타르트 가게 냄새도 유난히 향긋하네요~ 오늘은 입안 가득 싱그러운 느낌이 필요해요!""","""불타는 넛츠 타르트 궁금했는데..! 그걸로 주문할게요.""",불타는 넛츠 타르트,"""햇살처럼 따뜻한 맛이에요. 좋은 하루 되세요~""","""너무 자극적이었어요... 제 입엔 아직 이른 계절의 맛이네요."""
2011002,보석슬라임,General,슬라임,"""보석이 반짝이는 건 늘 아름답죠. 하지만 오늘은, 타르트가 반짝여야 할 차례에요.""","""반짝이는 아메디스트 타르트 부탁할게요.""",아메디스트 타르트,"""이런 고급스러움과 반짝임이라면 매일 와도 좋겠네요.""","""겉만 반짝이고 속은 비어 있는 느낌이에요."""
2011003,워터슬라임,General,슬라임,조용히 물 속에 잠기고 싶은 기분이네요...,"""촉촉한 호요 반짝 타르트 주세요...""",호요 반짝 타르트,"""말랑... 촉촉... 감사합니다...""","""...입 안이 마른 느낌... 싫어요..."""
2011004,악마슬라임,General,슬라임,"냄새부터가 수상해요~ 분명 재미있는 게 숨어 있겠죠? 이런 분위기, 그냥 지나칠 수 없죠!","""레빗 타르트 먹을까... 다른 거 먹을까... 아 그냥 원래대로 주세요.""",레빗 타르트,"""흠~ 이정도 자극이면 오늘 하루는 심심하지 않겠네요.""","""으음... 너무 심심해서 하품이 나오는 맛이네요."""
2011005,스타슬라임,General,슬라임,반짝이는 먼지를 따라왔더니 이곳에 도착했어요~!,"""어제 밤에 별이랑 속닥속닥했는데요… 달빛 펄 타르트가 엄청 맛있다더라구요~!""",달빛 펄 타르트,"""우와 정말 은하수가 입 안에서 흐르네요~! 밤 하늘에 떠 있는 느낌이에요.""","""어... 별들이랑 얘기한 거랑 많이 다르네요..."""
2011006,우주슬라임,General,슬라임,우주는 마치 반짝이는 보석과도 같아요,"""그런 의미에서 아메디스트 타르트 하나 주문할게요.""",아메디스트 타르트,"""우주처럼 깊고 반짝이는 맛이네요… 감동이에요.""","""음 별빛이 닿지 않는 공간 같아요..."""
2011007,광물슬라임,General,슬라임,단단함은 진심을 속이지 않죠. 여기도 그 진심이 느껴져요.,"""아메디스트 타르트 제일 딱딱하게 부탁해요.""",아메디스트 타르트,"""겉은 단단하고 속은 조용히 빛나네요.완벽합니다.""","""아름답지만 오래 남지 않네요. 실망스럽습니다."""
2011008,쌍둥이슬라임,General,슬라임,"""안녕하세요! 저희는 쌍둥이 슬라임이라고해요 ~ 이곳에 맛있는 타르트 가게가 있다고해서 방문했어요! 아직 우리 행성에는 디저트가 발달하지 않았는데 어떻게 그런 후기를 받은거지?""","""그그그… 버섯인데 모자고, 모잔데 타르트인 버섯모자 타르트요! 너무 궁금해서 어제 꿈에서까지 나왔다구요!""",버섯 모자 타르트,"""맛이 층층이 있어서 풍부한 맛이 나요~! 아아... 밑은 촉촉하고 위는 폭신! 이 조합 어디서 배운거에요?? 저희한테도 살짝 알려주세요~""","""헝... 기대 많이 했는데 양도 맛도 아쉽네요... 디저트는 아직인가봐요... 언제 완벽한 디저트를 맛볼 수 있을까나..."""
2011009,해파리슬라임,General,슬라임,"""조용하고 잔잔한 분위기, 마치 심해처럼 아늑해요...""","""말랑말랑... 호요 반짝 타르트... 주세요..."" ",호요 반짝 타르트,"""맞아요... 이런 느낌... 찾고 있었어요... 마음 속까지 조용히 퍼지네요....""","""이건 제가 찾던 게 아니에요... 혼란스러운 맛이라... 조금 무서워요..."""
2011010,천사슬라임,General,슬라임,"""천천히 둘러보려고요. 급할 건 없어요. 여긴 마음이 평화로워지는 분위기라 그냥 함께 있는 것만으로도 좋아요.""","""뭉게뭉게 타르트를 먹으면 하늘을 날아갈 것 같아요.""",뭉게뭉게 타르트,"""조용히 미소 지어지는 맛... 감사합니다.""","""이 타르트도 나쁘지 않아요. 단지... 날개가 묵워진 느낌이에요."""
2011011,버섯슬라임,General,슬라임,"""소문만 듣고도 설렜는데… 드디어 이곳을 찾았어요... 헉헉...""","""버섯 모자 타르트가 있다는 말을 듣고 달려왔어요!""",버섯 모자 타르트,"""이거에요 이거! 이 맛이야!!! 상상했던 것보다 훨씬 맛있어요!!!!!""","""어... 어라? 소문으로 들은 곳이 여기가 아닌가..?"""
2001001,무지개슬라임,Special,슬라임,"""저를 감동시키면 멋진 일이 일어날지도 모른답니다.""","""인생 달빛 펄 타르트를 찾는 중이에요.""",달빛 펄 타르트,"""당신... 보통 쥐가 아니군요. 이건 단순한 디저트가 아니에요. 작품이에요.""","""음... 노력은 느껴지지만 감동이 오는 맛은 아니네요. 다음을 기대하죠."""
2011012,고양이슬라임,General,슬라임,"""흐음... 파도 냄새가 나서 발길을 멈췄다냥.""","""혹시… 파도 조각 긁으면 소리 나냥? 겨울의 파도 타르트 하나 주라냥.""",겨울의 파도 타르트,"""오 이 짭짤하고 서늘한 맛... 진짜 파도 같다냥!""","""킁킁... 냄새부터 다른데 잘못 만든 거 아니냥?"""
2001002,악몽슬라임,Special,슬라임,"""여기가 그 타르트 가게군. 내 주문을 만족시키지 못한다면 이 가게는 악몽으로 물들거야.""","""완벽한 데빌 타르트 하나.""",데빌 타르트,"""...좋아.혼돈과 달콤함이 균형을 이루는군.""","""웃기지도 않는군. 이 정도로 나를 만족시킬 수 있다고 생각한거야?"""
2011013,기본슬라임,General,슬라임,"""어, 안녕하세요… 타르트가 정말 맛있다고 해서…""","""불… 무섭지만… 고소한 냄새에 이끌려버렸어요… 불타는 넛츠 타르트 하나 부탁할게요.""",불타는 넛츠 타르트,"""아... 따스하고... 고소하고... 처음엔 떨렸는데 전혀 무섭지 않아요..!""","""혹시... 제가 잘못 주문한걸까요..?"""
2011014,기본털덩이,General,털덩이,"""뭔가 포근한 냄새가 나서 따라왔어요!""","""버섯 모자 타르트 하나요!""",버섯 모자 타르트,""" 이 향기... 한 입 먹자마자 숲속에 와 있는 것 같아요!""","""뭔가 빠진 느낌인데... 흠... 안녕히계세요."""
2011015,악마털덩이,General,털덩이,"""으흐흐, 뭔가 재밌는 일이 벌어질 것 같은 냄새가 나네요...""","""레빗 타르트에 있는 루비 진짜에요? 제가 한번 먹어볼게요~""",레빗 타르트,"""이 타르트... 다음에 몰래 훔쳐갈지도 몰라요~ 흐흐 농담이에요~""","""장난은 제가 치는 거지, 저한테 치는 게 아닌데요~?"""
2011016,악마털덩이2,General,털덩이,"""평소엔 안 그러는데… 이 가게엔 뭔가 차분하게 만드는 공기가 있어요.""","""악마도 가끔은… 달빛 펄 타르트가 먹고싶을 때가 있어요.""",달빛 펄 타르트,"""...괜찮네요. 아니, 너무 좋네요. 표현이 서툴러서 미안해요.""","""...괜찮아요. 그냥, 조금 혼자 있고 싶을 뿐이에요."""
2011017,뾰족털덩이,General,털덩이,"""별도 뾰족... 달도 뾰족... 뾰족한 게 좋아...""","""제가 데빌 타르트를 좋아하는 이유는 뿔이 뾰족하기 때문이에요...""",데빌 타르트,"""이 뿔, 완벽하게 뾰족하군요... 마음에 들어요...""","""흠... 무언가 뾰족하지 않으면 기억에 남지도 않아요."""
2011018,요정털덩이,General,털덩이,"""별빛을 따라 여기까지 왔어요. 반짝이는 것들이 많은 곳엔 항상 무언가 특별한 게 숨어있거든요.""","""잼 위에 떠 있는 그 달… 달빛 펄 타르트 하나 부탁해요.""",달빛 펄 타르트,"""이 반짝임... 분명 오늘은 좋은 일이 생길 거예요. 고마워요!""","""제가 생각했던 달빛 펄 타르트가 아니에요. 별빛을 잃은 느낌이랄까..."""
2011019,전기털덩이,General,털덩이,"""오늘은 입 안이 심심해서요~ 자극적인 거 없나요?""","""데빌 타르트 한 입 깨물면 빠직! 타다닥! 이 소리 들려요? 으아, 최고!!""",데빌 타르트,"""하... 이건 그냥 타르트가 아니에요. 전율 그 자체예요!!!!""","""이건 정전된 맛이에요… 아무런 짜릿함도 없어요."""
2011020,외계털덩이,General,털덩이,"""@!#$%&&&#@@#$#@#....""","""호요호요@호요반짝@타르트호요요요요요@&#%!!!""",호요 반짝 타르트,"""@#맛@%*&#$있*&$##다$@!!!!""","""@#우(*&$#@#($*(웩@###@&&....."""
2011021,삼뿔털덩이,General,털덩이,"""차가운 공기 속에서 퍼지는 달콤한 향… 매혹적이군...""","""얼어붙은 파도 위를 걷는 듯한 맛, 상상만으로 멋지군. 겨울의 파도 타르트 하나 부탁드립니다.""",겨울의 파도 타르트,"""달콤함 속에 깃든 냉정함... 예술적인 조화입니다.""","""파도의 결이 느껴지지 않아요.아쉽네요."""
2011022,유니콘털덩이,General,털덩이,"""무지개 끝에서 만나는 가게가 있다면 바로 여기에요~""","""뭉게뭉게 타르트 위에서 뛰어다니고싶어요 ~""",뭉게믕게 타르트,"""우와~ 뭉게뭉게 타르트 너무 좋아요~ 구름 위에 있는 기분이에요~""","""음~ 조금 아쉬운 맛이네요. 조금 더 몽글몽글했으면 좋았을텐데..."""
2011023,사슴털덩이,General,털덩이,"""여긴 따뜻한 흙 냄새가 나서 좋아요. 그런 곳이 많지 않거든요.""","""불타는 넛츠 타르트… 겨울에 듣는 장작 타는 소리 같아요.""",불타는 넛츠 타르트,"""이 타르트, 숲의 향기가 가득하네요. 마음이 편안해져요. 감사합니다.""","""마치 텅 빈 숲을 걷는 기분이에요. 다음을 기대할게요."""
2001003,마법사털덩이,Special,털덩이,"""공기 중에 미세하게 감도는 에너지… 마법이 흐르고 있습니다...""","""완벽한 뭉게뭉게 타르트를 만들어준다면 그대에게 마법을...""",뭉게믕게 타르트,"""오... 이 타르트는 단순한 디저트가 아니에요. 그대에게 특별한 선물을...""","""아직 부족한 맛... 다음을 기대하며 이만..."""
